人民日益增长的美好生活需要和不平衡不充分的发展之间的矛盾	jdox
为渊驱鱼，为丛驱爵	ikny
茕茕孑立，形影相吊	llrd
前门拒虎，后门进狼	haum2
言者谆谆，听者藐藐	sqsl
豪氂不伐，将用斧柯	gace
言之无文，行而不远	srdm2
一人向隅，满坐不乐	fjtb
视之不见，听之不闻	frca
一子出家，七祖昇天	fhsf2
家累千金，坐不垂堂	wqls
江山易改，秉性难移	kvox3
愚者千虑，必有一得	qqlw2
江山好改，本性难移	kvbx2
早知今日，悔不当初	oojt
八仙过海，各显其能	hjkk3
前门拒虎，後门进狼	haum3
前人失脚，後人把滑	hjtk3
成则为王，败则为寇	noiw
差若毫釐，谬以千里	glgd
宁为鸡口，毋为牛后	wirx
愚者千虑，或有一得	qqlw3
祸从口出，病从口入	fjdj
失之千里，差若毫釐	trla2
卧榻之侧，岂容酣睡	qerq3
智者见智，仁者见仁	oqej
智者千虑，或有一失	oqlt3
身在江湖，心存魏阙	znka3
韩信用兵，多多益办	njts
仇人相见，分外明白	jjeu2
诲尔谆谆，听我藐藐	sxsl
顺道者昌，逆德者亡	ohqf
佛是金妆，人是衣妆	joza2
蝮蛇螫手，壮士解腕	ccgv
仇人相见，分外眼睁	jjeq
祸从口出，患从口入	fjdj2
水则载舟，水则覆舟	koni
一人飞升，仙及鸡犬	fjcm2
鞍不离马，甲不离身	tczz
如鱼饮水，冷暖自知	bwqo2
前无古人，後无来者	hdcq2
败事有馀，成事不足	ofnp
静若处子，动若脱兔	alhw
前人栽树，後人乘凉	hjnw2
种瓜得瓜，种李得李	xywe
一人善射，百夫决拾	fjgu
言之无文，行之不远	srdm3
顺之者昌，逆之者亡	orqf
日月经天，江河行地	ovig
仇人相见，分外眼明	jjeo2
桃李不言，下自成行	eecp2
战无不胜，攻无不取	ydcq
顺之者兴，逆之者亡	orqf2
士别三日，刮目相待	gdtw
流水不腐，户枢不蝼	kkcc2
前人失脚，后人把滑	hjtk4
顺天者存，逆天者亡	ofqf2
一场说走就走的旅行	fgsp
陪伴是最长情的告白	tjou
天将降大任于斯人也	fate
国务院发展研究中心	rhth
冰冻三尺非一日之寒	wwtw2
不知从什么时候开始	cojb2
人力资源和社会保障	jswt
得不到的永远在骚动	wcyb
中华人民共和国宪法	djjk
完全民事行为能力人	wjdj
不以人的意志为转移	cvjx
不知道什么时候开始	cohb3
恰似一江春水向东流	hjfk
你是我的小呀小苹果	jotq
不知道从什么时候起	cohp
安能摧眉折腰事权贵	wkuc2
说起来容易做起来难	spar
有的人死了他还活着	nujg2
一次说走就走的旅行	fwsp
九月九日忆山东兄弟	kvkh
你的酒馆对我打了烊	jukc2
无产阶级文化大革命	ditj3
敢于直面惨淡的人生	afnl
巨额财产来源不明罪	nwoy
生活不止眼前的苟且	lkcf
有人的地方就有江湖	njuk
可远观而不可亵玩焉	zmrf
天下没有不散的筵席	ffkx
敌人的敌人就是朋友	ajun
以结婚为目的的恋爱	viby
跳进黄河也洗不清了	pqnr
吃不到葡萄说葡萄酸	dcyy
生活在水深火热之中	lknd
再不疯狂我们就老了	fcar
国家卫生健康委员会	rwzj
急性淋巴细胞白血病	xhka2
跑得了和尚跑不了庙	pwrx
三代以内的旁系血亲	tjvi3
不能在一棵树上吊死	ckng
明天和意外哪个先来	ofxa2
不积跬步无以至千里	cxpd3
好看的皮囊千篇一律	buuw
一次奋不顾身的爱情	fwmh
九百六十万平方公里	kfad2
人生不如意事常八九	jlck2
友谊的小船说翻就翻	nsut2
没有对比就没有伤害	knrw2
不吃葡萄倒吐葡萄皮	cdlr
情不知所起一往而深	hcok
泰山崩于前而色不变	avvz
阿坝藏族羌族自治州	tglo2
书是人类进步的阶梯	aoje
加州大学洛杉矶分校	some
国家民族事务委员会	rwdj
打开了新世界的大门	ufra
邓小平理论伟大旗帜	ryer2
中国共产主义青年团	drlr
我不入地狱谁入地狱	tcjm
敢于正视淋漓的鲜血	afft2
也不撒泡尿照照自己	ecuv
天将降大任于是人也	fate2
时间就像海绵里的水	oagk
别的小朋友都回家了	duyr2
加州大学伯克利分校	some2
弱水三千只取一瓢饮	bktq
经济和信息化委员会	ikxj2
中国特色社会主义	drqi
三个代表重要思想	tjje2
人民代表大会制度	jdjx2
新疆维吾尔自治区	ibin
全国人民代表大会	jrjj2
多一事不如少一事	lfff
和平共处五项原则	xelo
以经济建设为中心	vikh
坚持四项基本原则	puyo
青出于蓝而胜于蓝	asfl2
巧妇难为无米之炊	ubrc
事不关己高高挂起	fchp2
狗嘴里吐不出象牙	mddl
跑了和尚跑不了庙	prxx3
无面目见江东父老	dbqq
狗口里吐不出象牙	mddl2
是可忍，孰不可忍	ozpp
癞蛤蟆想吃天鹅肉	accm
比上不足比下有余	vycj
心急吃不了热豆腐	hxdx
中央人民广播电台	dmjk
燕雀安知鸿鹄之志	lywg2
千里之行始于足下	ldrf
特立尼达和多巴哥	qicz
表面一套背后一套	abfm
被胜利冲昏了头脑	tvxv
供给侧结构性改革	jijt2
社会主义市场经济	fjik2
社会主义初级阶段	fjiu
社会主义民主政治	fjik3
全党全国各族人民	jsjd4
马克思主义中国化	ncqj
新疆生产建设兵团	iblr2
七天无理由退换货	rfdj
迅雷不及掩耳之势	atcu
全面建设小康社会	jbbj
剥夺政治权利终身	bmfz
社会主义先进文化	fjij5
对美好生活的向往	rgbw
以肉眼可见的速度	vmqx
睁一只眼闭一只眼	qfdq
法律面前人人平等	kwbr
富强民主文明和谐	wbds
三天打鱼两天晒网	tfum2
有什么可以帮到您	njtj
转变经济发展方式	yzip
民族区域自治制度	dlnx
抗日民族统一战线	uodi
社会主义精神文明	fjio
家家有本难念的经	wwni
法律面前一律平等	kwbr2
兵来将挡水来土掩	taau3
跑了和尚跑不了寺	prxg2
死诸葛能走生仲达	gslm
行百里者半於九十	pfdn3
多一事不如省一事	lfff2
狗口里生不出象牙	mddl3
死诸葛哧走生仲达	gslm2
中国农业发展银行	drwp2
联合国教科文组织	qjri2
不可或缺的一部分	czph2
统一社会信用代码	iffm
葫芦里卖的什么药	lldl2
具体问题具体分析	qjae
一千个伤心的理由	fljd3
身体是革命的本钱	zjoz
生不带来死不带去	lclg
假如生活欺骗了你	jblj3
新型冠状病毒肺炎	ifwc
发展和改革委员会	scxj
想怎么样就怎么样	ewte
婚姻是爱情的坟墓	bbol
中央广播电视总台	dmxk
网络科技有限公司	mixa
瘦死的骆驼比马大	agum
集万千宠爱于一身	uflz
你不是真正的快乐	jcob
眼睛是心灵的窗户	qqom
不可分割的一部分	czhh
前无古人后无来者	hdcq3
翻手为云覆手为雨	tuit2
人生得一知己足矣	jlwk
成事不足败事有余	nfcj2
不达目的誓不罢休	cmqj
没有功劳也有苦劳	knul2
治安管理处罚条例	kwrj
一波未平一波又起	fkap
科技股份有限公司	xuva
中华民族传统美德	djdw
爱美之心人皆有之	ygrr
宁为玉碎不为瓦全	winj2
我等到花儿也谢了	tryr
不知从什么时候起	cojp2
住房和城乡建设部	jmxi2
明知不可为而为之	oocr
然后就没有然后了	vxgr2
鱼和熊掌不可兼得	wxkw
物以类聚人以群分	qvph
兴趣是最好的老师	kpop
好之者不如乐之者	brqq
战略合作伙伴关系	yqjt
求生不得求死不能	flck
没有规矩不成方圆	knhr
苍蝇不叮无缝的蛋	lcct
反正闲着也是闲着	xfag2
太阳打西边出来了	mtur
具体情况具体分析	qjhe2
十月革命一声炮响	nvtd
大规模杀伤性武器	mhed
无人不知无人不晓	djco3
知之者不如好之者	orqq
跳进黄河也洗不清	pqnk
重要的事情说三遍	lvum
一把钥匙开一把锁	fuzz
三生三世十里桃花	tltl2
与朋友交而不信乎	fvnt2
最怕空气突然安静	ohea
一分耕耘一分收获	fhal
大门不出二门不迈	macf2
前不着村后不着店	hcgx
有福同享有难同当	nfmy
精致的利己主义者	pyuq
一个愿打一个愿挨	fjxu
中国科学技术大学	drxk3
巨额财产来源不明	nwoo2
慢性粒细胞白血病	hhpa2
鱼与熊掌不可兼得	wfkw
一人吃饱全家不饿	fjdq
早起的鸟儿有虫吃	opud
穷人的孩子早当家	ejuw
人外有人天外有天	jlnf3
历史车轮滚滚向前	xdyh
当然是选择原谅她	yvob
王侯将相宁有种乎	njat
不知我者谓我何求	cotf2
假如给我三天光明	jbio
没有无缘无故的爱	kndy2
站在巨人的肩膀上	inny
有一种不祥的预感	nfxn
四肢发达头脑简单	yvsh
狗拿耗子多管闲事	mjaf
上得厅堂下得厨房	ywxm
中华苏维埃共和国	djlr
人在江湖身不由己	jnkv2
千军万马过独木桥	lwfe2
大千世界无奇不有	mlln
好好学习天天向上	bbky
好记性不如烂笔头	bshw
江山易改本性难移	kvox4
第一个吃螃蟹的人	rfjj2
一个天上一个地下	fjff2
就是另外一回事了	godr
捡了芝麻丢了西瓜	urly3
般若波罗蜜多心经	ilki2
不怕一万就怕万一	chff2
人为财死鸟为食亡	jiof2
吃葡萄不吐葡萄皮	dllr
大难不死必有后福	mrcf
太阳从西边出来了	mtjr3
打一枪换一个地方	ufel
江南皮革厂倒闭了	knrr
花儿为什么这样红	lpii
超大规模集成电路	pmhp
北京航空航天大学	agik
时间可以改变一切	oazr
明枪易躲暗箭难防	oeot2
上知天文下知地理	yofn
仁者见仁智者见智	jqeo2
从这个意义上来说	jvjs3
不孝有三无后为大	cqnm
旧的不去新的不来	guca
有则改之无则加勉	novw3
一把鼻涕一把眼泪	fuok2
为达目的不择手段	imqu2
吃着碗里看着锅里	dgmd3
持续快速健康发展	uihc3
欲加之罪何患无辞	hsra
没想到你是这种人	keyj
麻雀虽小五脏俱全	zydj2
三人行必有我师焉	tjpf2
三百六十度无死角	tfax2
延边朝鲜族自治州	tsno2
时间可以冲淡一切	oazr2
不知道什么时候起	cohp2
自己的事情自己做	ovuj2
一家人不说两家话	fwjs
中国国际广播电台	drrk2
左耳朵进右耳朵出	nqos
时间是最好的解药	oaol
来得早不如来得巧	awou
根据相关法律法规	eueh2
确定一定以及肯定	mwfw
行不更名坐不改姓	pcfb
说出来你可能不信	ssaj2
这也不行那也不行	vecp3
上有政策下有对策	ynfr2
市场监督管理总局	zgpc
我要这铁棒有何用	tvvt
知其不可为而为之	ozcr
中华人民共和国	djjr
社会主义现代化	fjij
马克思列宁主义	ncqi2
新民主主义革命	idij
中国人民解放军	drjw
香港特别行政区	xkqn
澳门特别行政区	kaqn2
中共中央总书记	dlds
滚滚长江东逝水	kkpk
小丑竟是我自己	yaxv
广西壮族自治区	xvan
曾经沧海难为水	hikk
十一届三中全会	nfcj
竹篮打水一场空	rrue
不管三七二十一	crtf
有过之而无不及	nkrc
初生牛犊不怕虎	tlqz
有情人终成眷属	nhjc
君子之交淡如水	bhrk
宁夏回族自治区	wfrn2
天生我材必有用	fltt
今朝有酒今朝醉	jnny
第二次世界大战	rmwy
柳暗花明又一村	eole
敬酒不吃吃罚酒	lkck
功夫不负有心人	uhcj
心有灵犀一点通	hnbk2
第一次世界大战	rfwy
长江后浪推前浪	pkxk
一年之计在于春	fera
近水楼台先得月	tkev
情人眼里出西施	hjql
有缘千里来相会	nilj
人生自古谁无死	jlog
巭孬嫑夯昆勥茓	uccl3
得饶人处且饶人	wqjj2
神龙见首不见尾	ftec
醉翁之意不在酒	yhrk
赤橙黄绿青蓝紫	gens
中国社会科学院	drft
一寸光阴一寸金	fkmz
拒人于千里之外	ujfl
行百里者半九十	pfdn2
非物质文化遗产	rqxi
布宜诺斯艾利斯	nwsz
树欲静而风不止	ehas
心有余而力不足	hnjp
牵一发而动全身	mfsz2
无可奈何花落去	dzmg
天涯何处无芳草	fkjl
好汉不吃眼前亏	bkcm
寸金难买寸光阴	kzrt
多行不义必自毙	lpcv
上梁不正下梁歪	ykcc
站着说话不腰疼	igsa
宰相肚里能撑船	wevi
先天下之忧而忧	qffh
人生何处不相逢	jljh
男儿有泪不轻弹	qpnb2
后天下之乐而乐	xffb
有钱能使鬼推磨	nzkz
此地无银三百两	sgdm
共产主义青年团	liir
死猪不怕开水烫	gmck
赔了夫人又折兵	orht
磨刀不误砍柴工	zpcu
语不惊人死不休	schj
打破砂锅问到底	ummx
识时务者为俊杰	sohe
无事不登三宝殿	dfcc2
山重水复疑无路	vlkp
放之四海而皆准	lryw
一失足成千古恨	ftph
人心不足蛇吞象	jhcw
聪明反被聪明误	qoxs
犹抱琵琶半遮面	munb
天若有情天亦老	flnq
置之死地而后生	yrgl
打开天窗说亮话	uffs
解铃还须系铃人	xzcj2
羊毛出在羊身上	gvsy
山雨欲来风满楼	vthe
挟天子以令诸侯	ufhj
英雄无用武之地	lndg
浪子回头金不换	khru
人逢喜事精神爽	jhhm
身在曹营心在汉	znfk
横挑鼻子竖挑眼	euoq2
四海之内皆兄弟	ykrh
人怕出名猪怕壮	jhsa2
打破沙锅问到底	umkx
有其父必有其子	nzhh
画虎不成反类犬	fzcm
经一事，长一智	iffo
言必信，行必果	shjq
燕雀安知鸿鹄志	lywg
既来之，则安之	iarr
强将手下无弱兵	baut2
放诸四海而皆准	lsyw
名不正，言不顺	lcfo
吃一堑，长一智	dfyo3
拔了萝卜地皮宽	urlw
强龙不压地头蛇	btcc2
千里姻缘一线牵	ldbm
东方不亮西方亮	rlcg
前怕狼，后怕虎	hhmz
远水解不了近渴	mkxk
强中更有强中手	bdfu
经济技术开发区	ikun
众人拾柴火焰高	jjug
天下乌鸦一般黑	ffxp2
一个巴掌拍不响	fjmd
一石激起千层浪	fmkk
冒天下之大不韪	offo
皇天不负有心人	ufcj
酒逢知己千杯少	khoy
可怜天下父母心	zhfh
肥水不流外人田	vkcq
开弓没有回头箭	fbkr
车到山前必有路	yyvp
万丈高楼平地起	ffgp
这山望着那山高	vvfg
书中自有颜如玉	adon
书中自有黄金屋	adoc
来而不往非礼也	alce
不识庐山真面目	csxq
不见棺材不落泪	ceek
一日之计在于晨	foro
忠言逆耳利于行	dshp
良药苦口利于病	illa
小不忍则乱大谋	ycps
旧民主主义革命	gdij
两耳不闻窗外事	mqcf
冤家宜解不宜结	wwwi
低头不见抬头见	jwce
是可忍孰不可忍	ozpp2
奥林匹克运动会	tenj
沉舟侧畔千帆过	kijk2
病树前头万木春	aeha2
眉毛胡子一把抓	cvcu
船到桥头自然直	iyen
人民英雄纪念碑	jdlm2
打铁还需自身硬	uzcm
自古英雄出少年	ocle
一朝天子一朝臣	fnfq
女子无才便是德	bhdw
屋漏偏逢连夜雨	ckjt
清官难断家务事	kwrf
一日夫妻百日恩	fohr2
芝麻开花节节高	lzfg
无心插柳柳成荫	dhul
第二次鸦片战争	rmwx2
批评与自我批评	usfs
一个萝卜一个坑	fjlg
不到黄河心不死	cyng
不如意事常八九	cbxk2
一二三四五六七	fmtr
吉尼斯世界纪录	gczb2
人贵有自知之明	jcno
各人自扫门前雪	sjot3
中国少年先锋队	dryt
第一次鸦片战争	rfwx
新官上任三把火	iwyc
联产承包责任制	qiaq
不是冤家不聚头	coww
大水冲了龙王庙	mkwx
不看僧面看佛面	cujb2
大树底下好乘凉	mexw
胜败乃兵家常事	vovf
巴布亚新几内亚	mnff
不敢越雷池一步	caps
名不正则言不顺	lcfo2
得来全不费功夫	wajh
偷鸡不着蚀把米	jrcp
画虎画皮难画骨	fzff
羌笛何须怨杨柳	grje
逢人且说三分话	hjfs
最高人民检察院	ogjt2
不知道什么时候	cohj
随着时间的推移	tgox
不影响二次销售	codu
人生若只如初见	jlle
中央政治局常委	dmfx2
从什么时候开始	jjtb
柴米油盐酱醋茶	spkl
不知道怎么回事	cohf
随着时间的流逝	tgou
七天无理由退换	rfdu
一把鼻涕一把泪	fuok
马克思主义理论	ncqs
不知道说什么好	cohb
倒吸了一口冷气	jdrv2
